id Modelo,Short_Run_FDI,Long_Run_ECT
2,-0.009697***,-1.313454***
4,-0.017794*,-0.855074***
7,-0.019464***,-1.380676***
8,-0.020724907678924**,-0.0630939228697723**
11,0.014772***,-2.526429***
14,-0.030003***,-0.562792***
15,-0.009086***,-1.418716***
16,-0.036734***,-2.691349***
19,0.056483*,-2.55720337021769**
20,0.001168*,-1.797724***
22,-0.0141180964101335**,-0.933966***
26,-0.027880***,-2.897259***
27,-0.038427***,0.149868***
28,-0.0235110179876068**,-0.888958***
29,-0.053412***,-0.805280***
31,0.062907***,-4.073790***
32,-0.0255935197107675**,-0.592999***
34,-0.0212852997816374**,-0.638045***
35,-0.092240***,0.360669***
37,-0.078656***,0.297344***
39,-0.0126990470319265**,-1.351648***
40,0.024649*,-1.087290***
41,-0.008794***,-0.739873***
42,0.066425***,-6.549355***
45,-0.090843***,0.388021***
48,-0.064367***,-0.113876***
49,-0.068249***,-0.269020***
51,-0.205586***,0.757830***
52,-0.096999***,0.468590***
62,-0.0168534063110668**,-0.751625***
