Main,Control,Specification,id,Constant,FDI,TRADE,GQI,ICT,GDPPC,SE,GFCF,Adj_R,F_stat,AR1,AR2,BP,Arch,Ramsey_Reset,SW_Normality
ECI_SITC <- FDI_GDP,GDP_capita,"Model 2.ECI_SITC/(FDI_GDP, GDP_capita)",2,"-4.219e-01*** 
(9.111e-02)","2.259e-02*** 
(7.281e-03)",-,-,-,"-2.685e-05*** 
(5.710e-06)",-,-,0.7343,7.030000***,"0.037553 
(0.849584340549318)","0.259531 
(0.776007053068101)","8.342461 
(0.682337799960162)","0.156113 
(0.692760288318631)","0.000218 
(0.988421497953937)","0.937127 
(0.127032680529727)"
ECI_SITC <- FDI_GDP,School_enrollment,"Model 4.ECI_SITC/(FDI_GDP, School_enrollment)",4,"0.794468*** 
(0.253498)","-0.006987 
(0.006657)",-,-,-,-,"-0.011814*** 
(0.003494)",-,0.3894,3.369000**,"0.119772 
(0.733293724162912)","0.683520 
(0.518182551118352)","10.558708 
(0.159059803064408)","1.762642 
(0.184295326045887)","0.282619 
(0.600845051723779)","0.975802 
(0.757901619024901)"
ECI_SITC <- FDI_GDP,"GDP_capita, Trade_GDP","Model 7.ECI_SITC/(FDI_GDP, GDP_capita, Trade_GDP)",7,"-5.205e-01** 
(1.875e-01)","2.190e-02** 
(7.277e-03)","1.570e-03 
(1.996e-03)",-,-,"-2.977e-05*** 
(5.536e-06)",-,-,0.7722,7.781000***,"0.393853 
(0.543089073424242)","0.531614 
(0.603379649758447)","8.837687 
(0.716728090730629)","0.174147 
(0.67645231332452)","0.116292 
(0.738155069308712)","0.951840 
(0.2757321316381)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, Trade_GDP","Model 8.ECI_SITC/(FDI_GDP, GFCF_GDP, Trade_GDP)",8,"-1.427972* 
(0.686588)","-0.024757 
(0.015488)","0.009337* 
(0.004522)",-,-,-,-,"0.038592 
(0.021696)",0.226,1.521000,"0.528704 
(0.483826690850009)","0.811199 
(0.474339960124105)","15.805672 
(0.325385229594928)","0.581710 
(0.44564268827665)","0.073974 
(0.789908298821719)","0.945799 
(0.184605154453817)"
ECI_SITC <- FDI_GDP,"School_enrollment, Trade_GDP","Model 9.ECI_SITC/(FDI_GDP, School_enrollment, Trade_GDP)",9,"1.858272*** 
(0.280927)","-0.028919*** 
(0.006090)","0.010049*** 
(0.001436)",-,-,-,"-0.035937*** 
(0.004319)",-,0.8445,11.860000,"1.593922 
(0.232875362337936)","1.328093 
(0.307953818219762)","5.614564 
(0.934252765434605)","0.616999 
(0.432164521164589)","0.887616 
(0.362098588882193)","0.882869*** 
(0.00792365128981566)"
ECI_SITC <- FDI_GDP,"GovQualityIndex, Trade_GDP","Model 10.ECI_SITC/(FDI_GDP, GovQualityIndex, Trade_GDP)",10,"-0.481950** 
(0.206336)","0.007249 
(0.010280)","0.006550** 
(0.002823)","-0.034820 
(0.047737)",-,-,-,-,0.4053,2.168000,"0.120166 
(0.736821479046369)","3.333274* 
(0.0885214201527962)","14.721002 
(0.397488529748407)","0.031569 
(0.85897712183714)","2.089842 
(0.173887799785529)","0.965500 
(0.534389703530694)"
ECI_SITC <- FDI_GDP,"ICT_Index, Trade_GDP","Model 11.ECI_SITC/(FDI_GDP, ICT_Index, Trade_GDP)",11,"-2.1960234*** 
(0.2422480)","-0.0203362*** 
(0.0047548)","0.0195588*** 
(0.0024759)",-,"-0.3898535*** 
(0.0443398)",-,-,-,0.9086,14.250000***,"1.023992 
(0.358009329253305)","0.410959 
(0.688145743247879)","19.695868 
(0.350199773237144)","0.115166 
(0.734337173618496)","0.486962 
(0.505058586203551)","0.963110 
(0.479818822308139)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP","Model 12.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP)",12,"-9.593e-01** 
(3.648e-01)","1.154e-02 
(1.017e-02)",-,-,-,"-3.189e-05*** 
(6.700e-06)",-,"2.815e-02 
(1.844e-02)",0.7417,6.301000***,"0.001353 
(0.971383875643297)","0.003991 
(0.996018683859634)","10.005119 
(0.693515752519447)","0.025445 
(0.87326249975937)","0.085560 
(0.774515643388593)","0.929761* 
(0.085811907857565)"
ECI_SITC <- FDI_GDP,"GDP_capita, School_enrollment","Model 13.ECI_SITC/(FDI_GDP, GDP_capita, School_enrollment)",13,"1.164e-01 
(5.683e-01)","2.335e-02* 
(1.160e-02)",-,-,-,"-3.600e-05*** 
(9.331e-06)","-8.935e-03 
(7.053e-03)",-,0.7756,6.927000***,"0.432567 
(0.527193547517093)","1.282599 
(0.328737687233742)","6.919272 
(0.937779076912044)","0.032709 
(0.85648088802312)","1.416906 
(0.25692929840365)","0.904902775927998** 
(0.0234942395457787)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex","Model 14.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex)",14,"-1.434e-01 
(1.050e-01)","1.324e-02* 
(7.070e-03)",-,"-4.983e-02 
(3.187e-02)",-,"-2.294e-05** 
(7.653e-06)",-,-,0.6327,4.076000**,"0.117237 
(0.739138230494391)","0.106372 
(0.900204012118161)","15.478311 
(0.346258943608039)","0.299312 
(0.584313913347991)","0.168530 
(0.688107293955068)","0.978247 
(0.834708669373827)"
