Main,Control,Especificación,id,max_lag,Estadístico,cval1_I0,cval1_I1,cval5_I0,cval5_I1,cval10_I0,cval10_I1,conclusion
ECI_SITC <- FDI_GDP,Trade_GDP,"Model 1.ECI_SITC/(FDI_GDP, Trade_GDP)",1,"(3,2,2)",1.313004,6.183,7.873,4.267,5.473,3.437,4.47,No cointeg
ECI_SITC <- FDI_GDP,GDP_capita,"Model 2.ECI_SITC/(FDI_GDP, GDP_capita)",2,"(4,3,2)",68.375874***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
ECI_SITC <- FDI_GDP,GFCF_GDP,"Model 3.ECI_SITC/(FDI_GDP, GFCF_GDP)",3,"(3,3,1)",0.966497,6.183,7.873,4.267,5.473,3.437,4.47,No cointeg
ECI_SITC <- FDI_GDP,School_enrollment,"Model 4.ECI_SITC/(FDI_GDP, School_enrollment)",4,"(2,2,1)",4.690486*,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 10%
ECI_SITC <- FDI_GDP,GovQualityIndex,"Model 5.ECI_SITC/(FDI_GDP, GovQualityIndex)",5,"(3,2,1)",0.198216,6.183,7.873,4.267,5.473,3.437,4.47,No cointeg
ECI_SITC <- FDI_GDP,ICT_Index,"Model 6.ECI_SITC/(FDI_GDP, ICT_Index)",6,"(2,2,2)",1.851338,6.183,7.873,4.267,5.473,3.437,4.47,No cointeg
ECI_SITC <- FDI_GDP,"GDP_capita, Trade_GDP","Model 7.ECI_SITC/(FDI_GDP, GDP_capita, Trade_GDP)",7,"(4,2,2,1)",473.094168***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, Trade_GDP","Model 8.ECI_SITC/(FDI_GDP, GFCF_GDP, Trade_GDP)",8,"(3,3,3,2)",77.587255***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"School_enrollment, Trade_GDP","Model 9.ECI_SITC/(FDI_GDP, School_enrollment, Trade_GDP)",9,"(4,2,2,1)",597.256179***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, Trade_GDP","Model 10.ECI_SITC/(FDI_GDP, GovQualityIndex, Trade_GDP)",10,"(4,2,3,2)",18.087023***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
